"Table Name","Column Name","Physical Data Type","Domain Parent"
FeatureVehicle,SysEndTime,datetime,dDatetime
FeatureVehicle,RowLevelHashKey,varbinary(max),dBlob
Engine,EngineId,integer,sdIdNumber
Engine,EngineDisplacement,float,Number
Engine,EngineCylinderCount,integer,dNumber
Engine,EngineMaxHorsepower,integer,dNumber
Engine,EngineMaxTorque,integer,dNumber
Engine,VehicleMakeId,integer,sdIdNumber
Engine,UserAuthorizationId,integer,dNumber
Engine,SysStartTime,datetime,dDatetime
Engine,SysEndTime,datetime,dDatetime
Engine,RowLevelHashKey,varbinary(max),dBlob
DriveTrain,DriveTrainId,integer,sdIdNumber
DriveTrain,DriveTrainCode,char(10),sdDriveTrainCodeString
DriveTrain,DriveTrainDescription,varchar(20),sdDriveTrainDescriptionString
DriveTrain,UserAuthorizationId,integer,dNumber
DriveTrain,SysStartTime,datetime,dDatetime
DriveTrain,SysEndTime,datetime,dDatetime
DriveTrain,RowLevelHashKey,varbinary(max),dBlob
FuelType,FuelTypeId,integer,sdIdNumber
FuelType,FuelType,varchar(50),sdNameString
FuelType,UserAuthorizationId,integer,dNumber
FuelType,SysStartTime,datetime,dDatetime
FuelType,SysEndTime,datetime,dDatetime
FuelType,RowLevelHashKey,varbinary(max),dBlob
Color,ColorId,integer,sdIdNumber
Color,ColorName,varchar(50),sdNameString
Color,UserAuthorizationId,integer,dNumber
Color,SysStartTime,datetime,dDatetime
Color,SysEndTime,datetime,dDatetime
Color,RowLevelHashKey,varbinary(max),dBlob
Transmission,TransmissionId,integer,sdIdNumber
Transmission,TransmissionName,varchar(50),sdNameString
Transmission,Transmission GearCount,integer,dNumber
Transmission,TransmissionTypeId,integer,sdIdNumber
Transmission,VehicleMakeId,integer,sdIdNumber
Transmission,UserAuthorizationId,integer,dNumber
Transmission,SysStartTime,datetime,dDatetime
Transmission,SysEndTime,datetime,dDatetime
Transmission,RowLevelHashKey,varbinary(max),dBlob
TransmissionType,TransmissionTypeId,integer,sdIdNumber
TransmissionType,TransmissionType,varchar(50),sdNameString
TransmissionType,UserAuthorizationId,integer,dNumber
TransmissionType,SysStartTime,datetime,dDatetime
TransmissionType,SysEndTime,datetime,dDatetime
TransmissionType,RowLevelHashKey,varbinary(max),dBlob
Trim,TrimId,integer,sdIdNumber
Trim,TrimName,varchar(50),sdNameString
Trim,TrimLevel,integer,dNumber
Trim,ModelId,integer,sdIdNumber
Trim,MakeId,integer,sdIdNumber
Trim,UserAuthorizationId,integer,dNumber
Trim,SysStartTime,datetime,dDatetime
Trim,SysEndTime,datetime,dDatetime
Trim,RowLevelHashKey,varbinary(max),dBlob
OrderVehicle,OrderId,integer,sdIdNumber
OrderVehicle,VehicleId,integer,sdIdNumber
OrderVehicle,ModelId,integer,sdIdNumber
OrderVehicle,MakeId,integer,sdIdNumber
OrderVehicle,TrimId,integer,sdIdNumber
OrderVehicle,CustomerId,integer,sdIdNumber
OrderVehicle,OrderVehicleId,integer,sdIdNumber
OrderVehicle,LineItemNumber,integer,dNumber
OrderVehicle,Price,"decimal(18,2)",sdPriceNumber
OrderVehicle,Discount,integer,sdPercentNumber
OrderVehicle,DerivedDiscountedPrice,"decimal(18,2)",sdPriceNumber
OrderVehicle,StaffId,integer,sdIdNumber
OrderVehicle,UserAuthorizationId,integer,dNumber
OrderVehicle,SysStartTime,datetime,dDatetime
OrderVehicle,SysEndTime,datetime,dDatetime
OrderVehicle,RowLevelHashKey,varbinary(max),dBlob
UserAuthorization,UserAuthorizationId,integer,dNumber
UserAuthorization,ClassTime,char(5),String
UserAuthorization,IndividualProject,varchar(60),String
UserAuthorization,GroupMemberLastName,varchar(35),String
UserAuthorization,GroupMemberFirstName,varchar(25),String
UserAuthorization,GroupName,varchar(20),String
UserAuthorization,SysStartTime,datetime,dDatetime
UserAuthorization,SysEndTime,datetime,dDatetime
AuditCustomerHistory,AuditCustomerHistory,integer,sdIdNumber
AuditCustomerHistory,CustomerId,integer,sdIdNumber
AuditCustomerHistory,CustomerName,varchar(50),sdPersonName
AuditCustomerHistory,CustomerAddress1,varchar(50),sdAddressString
AuditCustomerHistory,CustomerAddress2,varchar(50),sdAddressString
AuditCustomerHistory,CustomerTown,varchar(50),sdTownString
AuditCustomerHistory,CustomerPostalCode,char(10),sdZipCodeString
AuditCustomerHistory,IsCustomerReseller,char(1),sdFlagString
AuditCustomerHistory,IsCustomerCreditRisk,varchar(50),sdLocationString
AuditCustomerHistory,SpendCapacity,"decimal(18,2)",sdMoneyNumber
AuditCustomerHistory,RowLevelHashKey,varbinary(max),dBlob
AuditCustomerHistory,Note,varchar(50),sdCommentaryString
AuditCustomerHistory,IsDeleted,char(1),sdFlagString
AuditCustomerHistory,TransactionNumber,integer,dNumber
AuditCustomerHistory,UserAuthorizationId,integer,dNumber
AuditCustomerHistory,SysStartTime,datetime,dDatetime
AuditCustomerHistory,SysEndTime,datetime,dDatetime
AuditMakeHistory,AuditMakeHistoryId,integer,sdIdNumber
AuditMakeHistory,MakeId,integer,sdIdNumber
AuditMakeHistory,MakeName,varchar(50),sdMakeName
AuditMakeHistory,RowLevelHashKey,varbinary(max),dBlob
AuditMakeHistory,Note,varchar(50),sdCommentaryString
AuditMakeHistory,IsDeleted,char(1),sdFlagString
AuditMakeHistory,TransactionNumber,integer,dNumber
AuditMakeHistory,UserAuthorizationId,integer,dNumber
AuditMakeHistory,SysStartTime,datetime,dDatetime
AuditMakeHistory,SysEndTime,datetime,dDatetime
AuditModelHistory,AuditModelHistoryId,integer,sdIdNumber
AuditModelHistory,ModelId,integer,sdIdNumber
AuditModelHistory,ModelName,varchar(50),sdModelName
AuditModelHistory,ModelVariant,varchar(50),sdNameString
AuditModelHistory,BodyName,varchar(50),sdDetailsString
AuditModelHistory,RowLevelHashKey,varbinary(max),dBlob
AuditModelHistory,Note,varchar(50),sdCommentaryString
AuditModelHistory,IsDeleted,char(1),sdFlagString
AuditModelHistory,TransactionNumber,integer,dNumber
AuditModelHistory,UserAuthorizationKey,integer,dNumber
AuditModelHistory,SysStartTime,datetime,dDatetime
AuditModelHistory,SysEndtime,datetime,dDatetime
AuditOrderHistory,AuditOrderHistoryId,integer,sdIdNumber
AuditOrderHistory,OrderId,integer,sdIdNumber
AuditOrderHistory,InvoiceNumber,integer,dNumber
AuditOrderHistory,TotalPrice,"decimal(18,2)",sdPriceNumber
AuditOrderHistory,Date,datetime,sdYYYYMMDDDatetime
AuditOrderHistory,RowLevelHashKey,varbinary(max),dBlob
AuditOrderHistory,Note,varchar(50),sdCommentaryString
AuditOrderHistory,IsDeleted,char(1),sdFlagString
AuditOrderHistory,TransactionNumber,integer,dNumber
AuditOrderHistory,UserAuthorizationId,integer,dNumber
AuditOrderHistory,SysStartTime,datetime,dDatetime
AuditOrderHistory,SysEndTime,datetime,dDatetime
AuditOrderVehicleHistory,AuditOrderVehicleHistory,integer,sdIdNumber
AuditOrderVehicleHistory,OrderVehicleId,integer,sdIdNumber
AuditOrderVehicleHistory,LineItemNumber,integer,dNumber
AuditOrderVehicleHistory,Price,"decimal(18,2)",sdPriceNumber
AuditOrderVehicleHistory,Discount,integer,sdPercentNumber
AuditOrderVehicleHistory,DerivedDiscountedPrice,"decimal(18,2)",sdMoneyNumber
AuditOrderVehicleHistory,UserAuthorizationId,integer,dNumber
AuditOrderVehicleHistory,SysStartTime,datetime,dDatetime
AuditOrderVehicleHistory,SysEndTime,datetime,dDatetime
AuditOrderVehicleHistory,Note,varchar(50),sdCommentaryString
AuditOrderVehicleHistory,IsDeleted,char(1),sdFlagString
AuditOrderVehicleHistory,TransactionNumber,integer,dNumber
AuditOrderVehicleHistory,RowLevelHashKey,varbinary(max),dBlob
AuditStaffHistory,AuditStaffHistory,integer,sdIdNumber
AuditStaffHistory,StaffId,integer,sdIdNumber
AuditStaffHistory,StaffName,varchar(50),sdPersonName
AuditStaffHistory,Department,varchar(50),sdDepartmentName
AuditStaffHistory,RowLevelHashKey,varbinary(max),dBlob
AuditStaffHistory,Note,varchar(50),sdCommentaryString
AuditStaffHistory,IsDeleted,char(1),sdFlagString
AuditStaffHistory,TransactionNumber,integer,dNumber
AuditStaffHistory,UserAuthorizationId,integer,dNumber
AuditStaffHistory,SysStartTime,datetime,dDatetime
AuditStaffHistory,SysEndTime,datetime,dDatetime
AuditVehicleHistory,AuditVehicleHistoryId,integer,dNumber
AuditVehicleHistory,VehicleId,integer,sdIdNumber
AuditVehicleHistory,VinNumber,varchar(50),sdDetailsString
AuditVehicleHistory,VehicleYear,char(4),sdYYYYString
AuditVehicleHistory,MSRP,"decimal(18,2)",sdMoneyNumber
AuditVehicleHistory,UserAuthorizationId,integer,dNumber
AuditVehicleHistory,SysStartTime,datetime,dDatetime
AuditVehicleHistory,SysEndTime,datetime,dDatetime
AuditVehicleHistory,Note,varchar(50),sdCommentaryString
AuditVehicleHistory,isDeleted,char(1),sdFlagString
AuditVehicleHistory,TransactionNumber,integer,dNumber
AuditVehicleHistory,RowLevelHashKey,varbinary(max),dBlob
AuditVehicleStockHistory,AuditVehicleStockHistoryId,integer,sdIdNumber
AuditVehicleStockHistory,StockId,integer,sdIdNumber
AuditVehicleStockHistory,StockCode,varchar(50),dString
AuditVehicleStockHistory,RepairsCharge,"decimal(18,2)",sdFeeNumber
AuditVehicleStockHistory,PartsCharge,"decimal(18,2)",sdFeeNumber
AuditVehicleStockHistory,DeliveryCharge,"decimal(18,2)",sdFeeNumber
AuditVehicleStockHistory,PurchasedDate,datetime,sdYYYYMMDDDatetime
AuditVehicleStockHistory,UserAuthorizationId,integer,dNumber
AuditVehicleStockHistory,SysStartTime,datetime,dDatetime
AuditVehicleStockHistory,SysEndTime,datetime,dDatetime
